N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
100,10,1,50.10%,1,1,100,0.01
100,10,2,50.10%,1,10,4950,0.002020202
100,10,3,50.10%,2,10,161700,6.18429E-05
100,10,4,50.10%,2,45,3921225,1.1476E-05
100,10,5,50.10%,3,45,75287520,5.97709E-07
100,10,6,50.10%,3,120,1192052400,1.00667E-07
100,10,7,50.10%,4,120,16007560800,7.49646E-09
100,10,8,50.10%,4,210,1.86088E+11,1.1285E-09
100,10,9,50.10%,5,210,1.90223E+12,1.10397E-10
100,10,10,50.10%,5,252,1.73103E+13,1.45578E-11
100,10,11,50.10%,6,252,1.4163E+14,1.77929E-12
100,10,12,50.10%,6,210,1.05042E+15,1.9992E-13
100,10,13,50.10%,7,210,7.11054E+15,2.95336E-14
100,10,14,50.10%,7,120,4.41869E+16,2.71573E-15
100,10,15,50.10%,8,120,2.53338E+17,4.73675E-16
100,10,16,50.10%,8,45,1.34586E+18,3.34359E-17
100,10,17,50.10%,9,45,6.65013E+18,6.76678E-18
100,10,18,50.10%,9,10,3.06645E+19,3.2611E-19
100,10,19,50.10%,10,10,1.32342E+20,7.5562E-20
100,10,20,50.10%,10,1,5.35983E+20,1.86573E-21
100,10,21,50.10%,11,1,2.04184E+21,4.89754E-22
100,10,22,50.10%,11,#NUM!,7.33207E+21,#NUM!
100,10,23,50.10%,12,#NUM!,2.48653E+22,#NUM!
100,10,24,50.10%,12,#NUM!,7.97761E+22,#NUM!
100,10,25,50.10%,13,#NUM!,2.42519E+23,#NUM!
100,10,26,50.10%,13,#NUM!,6.99575E+23,#NUM!
100,10,27,50.10%,14,#NUM!,1.91735E+24,#NUM!
100,10,28,50.10%,14,#NUM!,4.99881E+24,#NUM!
100,10,29,50.10%,15,#NUM!,1.24108E+25,#NUM!
100,10,30,50.10%,15,#NUM!,2.93723E+25,#NUM!
100,10,31,50.10%,16,#NUM!,6.63246E+25,#NUM!
100,10,32,50.10%,16,#NUM!,1.43013E+26,#NUM!
100,10,33,50.10%,17,#NUM!,2.94692E+26,#NUM!
100,10,34,50.10%,17,#NUM!,5.80717E+26,#NUM!
100,10,35,50.10%,18,#NUM!,1.09507E+27,#NUM!
100,10,36,50.10%,18,#NUM!,1.9772E+27,#NUM!
100,10,37,50.10%,19,#NUM!,3.42003E+27,#NUM!
100,10,38,50.10%,19,#NUM!,5.67005E+27,#NUM!
100,10,39,50.10%,20,#NUM!,9.01392E+27,#NUM!
100,10,40,50.10%,20,#NUM!,1.37462E+28,#NUM!
100,10,41,50.10%,21,#NUM!,2.01164E+28,#NUM!
100,10,42,50.10%,21,#NUM!,2.82588E+28,#NUM!
100,10,43,50.10%,22,#NUM!,3.81165E+28,#NUM!
100,10,44,50.10%,22,#NUM!,4.93782E+28,#NUM!
100,10,45,50.10%,23,#NUM!,6.14485E+28,#NUM!
100,10,46,50.10%,23,#NUM!,7.3471E+28,#NUM!
100,10,47,50.10%,24,#NUM!,8.44135E+28,#NUM!
100,10,48,50.10%,24,#NUM!,9.32066E+28,#NUM!
100,10,49,50.10%,25,#NUM!,9.89131E+28,#NUM!
100,10,50,50.10%,25,#NUM!,1.00891E+29,#NUM!
100,10,51,50.10%,26,#NUM!,9.89131E+28,#NUM!
100,10,52,50.10%,26,#NUM!,9.32066E+28,#NUM!
100,10,53,50.10%,27,#NUM!,8.44135E+28,#NUM!
100,10,54,50.10%,27,#NUM!,7.3471E+28,#NUM!
100,10,55,50.10%,28,#NUM!,6.14485E+28,#NUM!
100,10,56,50.10%,28,#NUM!,4.93782E+28,#NUM!
100,10,57,50.10%,29,#NUM!,3.81165E+28,#NUM!
100,10,58,50.10%,29,#NUM!,2.82588E+28,#NUM!
100,10,59,50.10%,30,#NUM!,2.01164E+28,#NUM!
100,10,60,50.10%,30,#NUM!,1.37462E+28,#NUM!
100,10,61,50.10%,31,#NUM!,9.01392E+27,#NUM!
100,10,62,50.10%,31,#NUM!,5.67005E+27,#NUM!
100,10,63,50.10%,32,#NUM!,3.42003E+27,#NUM!
100,10,64,50.10%,32,#NUM!,1.9772E+27,#NUM!
100,10,65,50.10%,33,#NUM!,1.09507E+27,#NUM!
100,10,66,50.10%,33,#NUM!,5.80717E+26,#NUM!
100,10,67,50.10%,34,#NUM!,2.94692E+26,#NUM!
100,10,68,50.10%,34,#NUM!,1.43013E+26,#NUM!
100,10,69,50.10%,35,#NUM!,6.63246E+25,#NUM!
100,10,70,50.10%,35,#NUM!,2.93723E+25,#NUM!
100,10,71,50.10%,36,#NUM!,1.24108E+25,#NUM!
100,10,72,50.10%,36,#NUM!,4.99881E+24,#NUM!
100,10,73,50.10%,37,#NUM!,1.91735E+24,#NUM!
100,10,74,50.10%,37,#NUM!,6.99575E+23,#NUM!
100,10,75,50.10%,38,#NUM!,2.42519E+23,#NUM!
100,10,76,50.10%,38,#NUM!,7.97761E+22,#NUM!
100,10,77,50.10%,39,#NUM!,2.48653E+22,#NUM!
100,10,78,50.10%,39,#NUM!,7.33207E+21,#NUM!
100,10,79,50.10%,40,#NUM!,2.04184E+21,#NUM!
100,10,80,50.10%,40,#NUM!,5.35983E+20,#NUM!
100,10,81,50.10%,41,#NUM!,1.32342E+20,#NUM!
100,10,82,50.10%,41,#NUM!,3.06645E+19,#NUM!
100,10,83,50.10%,42,#NUM!,6.65013E+18,#NUM!
100,10,84,50.10%,42,#NUM!,1.34586E+18,#NUM!
100,10,85,50.10%,43,#NUM!,2.53338E+17,#NUM!
100,10,86,50.10%,43,#NUM!,4.41869E+16,#NUM!
100,10,87,50.10%,44,#NUM!,7.11054E+15,#NUM!
100,10,88,50.10%,44,#NUM!,1.05042E+15,#NUM!
100,10,89,50.10%,45,#NUM!,1.4163E+14,#NUM!
100,10,90,50.10%,45,#NUM!,1.73103E+13,#NUM!
100,10,91,50.10%,46,#NUM!,1.90223E+12,#NUM!
100,10,92,50.10%,46,#NUM!,1.86088E+11,#NUM!
100,10,93,50.10%,47,#NUM!,16007560800,#NUM!
100,10,94,50.10%,47,#NUM!,1192052400,#NUM!
100,10,95,50.10%,48,#NUM!,75287520,#NUM!
100,10,96,50.10%,48,#NUM!,3921225,#NUM!
100,10,97,50.10%,49,#NUM!,161700,#NUM!
100,10,98,50.10%,49,#NUM!,4950,#NUM!
100,10,99,50.10%,50,#NUM!,100,#NUM!
100,10,100,50.10%,50,#NUM!,1,#NUM!
