N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
100,1,10,50.10%,5,#NUM!,1.73103E+13,#NUM!
100,2,10,50.10%,5,#NUM!,1.73103E+13,#NUM!
100,3,10,50.10%,5,#NUM!,1.73103E+13,#NUM!
100,4,10,50.10%,5,#NUM!,1.73103E+13,#NUM!
100,5,10,50.10%,5,1,1.73103E+13,5.7769E-14
100,6,10,50.10%,5,6,1.73103E+13,3.46614E-13
100,7,10,50.10%,5,21,1.73103E+13,1.21315E-12
100,8,10,50.10%,5,56,1.73103E+13,3.23507E-12
100,9,10,50.10%,5,126,1.73103E+13,7.2789E-12
100,10,10,50.10%,5,252,1.73103E+13,1.45578E-11
100,11,10,50.10%,5,462,1.73103E+13,2.66893E-11
100,12,10,50.10%,5,792,1.73103E+13,4.57531E-11
100,13,10,50.10%,5,1287,1.73103E+13,7.43488E-11
100,14,10,50.10%,5,2002,1.73103E+13,1.15654E-10
100,15,10,50.10%,5,3003,1.73103E+13,1.7348E-10
100,16,10,50.10%,5,4368,1.73103E+13,2.52335E-10
100,17,10,50.10%,5,6188,1.73103E+13,3.57475E-10
100,18,10,50.10%,5,8568,1.73103E+13,4.94965E-10
100,19,10,50.10%,5,11628,1.73103E+13,6.71738E-10
100,20,10,50.10%,5,15504,1.73103E+13,8.95651E-10
100,21,10,50.10%,5,20349,1.73103E+13,1.17554E-09
100,22,10,50.10%,5,26334,1.73103E+13,1.52129E-09
100,23,10,50.10%,5,33649,1.73103E+13,1.94387E-09
100,24,10,50.10%,5,42504,1.73103E+13,2.45542E-09
100,25,10,50.10%,5,53130,1.73103E+13,3.06927E-09
100,26,10,50.10%,5,65780,1.73103E+13,3.80005E-09
100,27,10,50.10%,5,80730,1.73103E+13,4.66369E-09
100,28,10,50.10%,5,98280,1.73103E+13,5.67754E-09
100,29,10,50.10%,5,118755,1.73103E+13,6.86036E-09
100,30,10,50.10%,5,142506,1.73103E+13,8.23244E-09
100,31,10,50.10%,5,169911,1.73103E+13,9.8156E-09
100,32,10,50.10%,5,201376,1.73103E+13,1.16333E-08
100,33,10,50.10%,5,237336,1.73103E+13,1.37107E-08
100,34,10,50.10%,5,278256,1.73103E+13,1.60746E-08
100,35,10,50.10%,5,324632,1.73103E+13,1.87537E-08
100,36,10,50.10%,5,376992,1.73103E+13,2.17785E-08
100,37,10,50.10%,5,435897,1.73103E+13,2.51814E-08
100,38,10,50.10%,5,501942,1.73103E+13,2.89967E-08
100,39,10,50.10%,5,575757,1.73103E+13,3.32609E-08
100,40,10,50.10%,5,658008,1.73103E+13,3.80125E-08
100,41,10,50.10%,5,749398,1.73103E+13,4.3292E-08
100,42,10,50.10%,5,850668,1.73103E+13,4.91423E-08
100,43,10,50.10%,5,962598,1.73103E+13,5.56084E-08
100,44,10,50.10%,5,1086008,1.73103E+13,6.27376E-08
100,45,10,50.10%,5,1221759,1.73103E+13,7.05798E-08
100,46,10,50.10%,5,1370754,1.73103E+13,7.91871E-08
100,47,10,50.10%,5,1533939,1.73103E+13,8.86142E-08
100,48,10,50.10%,5,1712304,1.73103E+13,9.89182E-08
100,49,10,50.10%,5,1906884,1.73103E+13,1.10159E-07
100,50,10,50.10%,5,2118760,1.73103E+13,1.22399E-07
100,51,10,50.10%,5,2349060,1.73103E+13,1.35703E-07
100,52,10,50.10%,5,2598960,1.73103E+13,1.50139E-07
100,53,10,50.10%,5,2869685,1.73103E+13,1.65779E-07
100,54,10,50.10%,5,3162510,1.73103E+13,1.82695E-07
100,55,10,50.10%,5,3478761,1.73103E+13,2.00965E-07
100,56,10,50.10%,5,3819816,1.73103E+13,2.20667E-07
100,57,10,50.10%,5,4187106,1.73103E+13,2.41885E-07
100,58,10,50.10%,5,4582116,1.73103E+13,2.64704E-07
100,59,10,50.10%,5,5006386,1.73103E+13,2.89214E-07
100,60,10,50.10%,5,5461512,1.73103E+13,3.15506E-07
100,61,10,50.10%,5,5949147,1.73103E+13,3.43677E-07
100,62,10,50.10%,5,6471002,1.73103E+13,3.73824E-07
100,63,10,50.10%,5,7028847,1.73103E+13,4.0605E-07
100,64,10,50.10%,5,7624512,1.73103E+13,4.40461E-07
100,65,10,50.10%,5,8259888,1.73103E+13,4.77166E-07
100,66,10,50.10%,5,8936928,1.73103E+13,5.16278E-07
100,67,10,50.10%,5,9657648,1.73103E+13,5.57913E-07
100,68,10,50.10%,5,10424128,1.73103E+13,6.02192E-07
100,69,10,50.10%,5,11238513,1.73103E+13,6.49238E-07
100,70,10,50.10%,5,12103014,1.73103E+13,6.9918E-07
100,71,10,50.10%,5,13019909,1.73103E+13,7.52148E-07
100,72,10,50.10%,5,13991544,1.73103E+13,8.08278E-07
100,73,10,50.10%,5,15020334,1.73103E+13,8.6771E-07
100,74,10,50.10%,5,16108764,1.73103E+13,9.30588E-07
100,75,10,50.10%,5,17259390,1.73103E+13,9.97058E-07
100,76,10,50.10%,5,18474840,1.73103E+13,1.06727E-06
100,77,10,50.10%,5,19757815,1.73103E+13,1.14139E-06
100,78,10,50.10%,5,21111090,1.73103E+13,1.21957E-06
100,79,10,50.10%,5,22537515,1.73103E+13,1.30197E-06
100,80,10,50.10%,5,24040016,1.73103E+13,1.38877E-06
100,81,10,50.10%,5,25621596,1.73103E+13,1.48014E-06
100,82,10,50.10%,5,27285336,1.73103E+13,1.57625E-06
100,83,10,50.10%,5,29034396,1.73103E+13,1.67729E-06
100,84,10,50.10%,5,30872016,1.73103E+13,1.78345E-06
100,85,10,50.10%,5,32801517,1.73103E+13,1.89491E-06
100,86,10,50.10%,5,34826302,1.73103E+13,2.01188E-06
100,87,10,50.10%,5,36949857,1.73103E+13,2.13456E-06
100,88,10,50.10%,5,39175752,1.73103E+13,2.26315E-06
100,89,10,50.10%,5,41507642,1.73103E+13,2.39786E-06
100,90,10,50.10%,5,43949268,1.73103E+13,2.53891E-06
100,91,10,50.10%,5,46504458,1.73103E+13,2.68652E-06
100,92,10,50.10%,5,49177128,1.73103E+13,2.84092E-06
100,93,10,50.10%,5,51971283,1.73103E+13,3.00233E-06
100,94,10,50.10%,5,54891018,1.73103E+13,3.171E-06
100,95,10,50.10%,5,57940519,1.73103E+13,3.34717E-06
100,96,10,50.10%,5,61124064,1.73103E+13,3.53108E-06
100,97,10,50.10%,5,64446024,1.73103E+13,3.72299E-06
100,98,10,50.10%,5,67910864,1.73103E+13,3.92315E-06
100,99,10,50.10%,5,71523144,1.73103E+13,4.13182E-06
100,100,10,50.10%,5,75287520,1.73103E+13,4.34929E-06
