N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
1,10,10,50.10%,5,252,#NUM!,#NUM!
2,10,10,50.10%,5,252,#NUM!,#NUM!
3,10,10,50.10%,5,252,#NUM!,#NUM!
4,10,10,50.10%,5,252,#NUM!,#NUM!
5,10,10,50.10%,5,252,#NUM!,#NUM!
6,10,10,50.10%,5,252,#NUM!,#NUM!
7,10,10,50.10%,5,252,#NUM!,#NUM!
8,10,10,50.10%,5,252,#NUM!,#NUM!
9,10,10,50.10%,5,252,#NUM!,#NUM!
10,10,10,50.10%,5,252,1,252
11,10,10,50.10%,5,252,11,22.90909091
12,10,10,50.10%,5,252,66,3.818181818
13,10,10,50.10%,5,252,286,0.881118881
14,10,10,50.10%,5,252,1001,0.251748252
15,10,10,50.10%,5,252,3003,0.083916084
16,10,10,50.10%,5,252,8008,0.031468531
17,10,10,50.10%,5,252,19448,0.012957631
18,10,10,50.10%,5,252,43758,0.005758947
19,10,10,50.10%,5,252,92378,0.002727922
20,10,10,50.10%,5,252,184756,0.001363961
21,10,10,50.10%,5,252,352716,0.000714456
22,10,10,50.10%,5,252,646646,0.000389703
23,10,10,50.10%,5,252,1144066,0.000220267
24,10,10,50.10%,5,252,1961256,0.000128489
25,10,10,50.10%,5,252,3268760,7.70935E-05
26,10,10,50.10%,5,252,5311735,4.74421E-05
27,10,10,50.10%,5,252,8436285,2.9871E-05
28,10,10,50.10%,5,252,13123110,1.92028E-05
29,10,10,50.10%,5,252,20030010,1.25811E-05
30,10,10,50.10%,5,252,30045015,8.38741E-06
31,10,10,50.10%,5,252,44352165,5.6818E-06
32,10,10,50.10%,5,252,64512240,3.90624E-06
33,10,10,50.10%,5,252,92561040,2.72253E-06
34,10,10,50.10%,5,252,131128140,1.92178E-06
35,10,10,50.10%,5,252,183579396,1.3727E-06
36,10,10,50.10%,5,252,254186856,9.91397E-07
37,10,10,50.10%,5,252,348330136,7.23452E-07
38,10,10,50.10%,5,252,472733756,5.3307E-07
39,10,10,50.10%,5,252,635745396,3.96385E-07
40,10,10,50.10%,5,252,847660528,2.97289E-07
41,10,10,50.10%,5,252,1121099408,2.24779E-07
42,10,10,50.10%,5,252,1471442973,1.7126E-07
43,10,10,50.10%,5,252,1917334783,1.31432E-07
44,10,10,50.10%,5,252,2481256778,1.01561E-07
45,10,10,50.10%,5,252,3190187286,7.89922E-08
46,10,10,50.10%,5,252,4076350421,6.182E-08
47,10,10,50.10%,5,252,5178066751,4.86668E-08
48,10,10,50.10%,5,252,6540715896,3.85279E-08
49,10,10,50.10%,5,252,8217822536,3.06651E-08
50,10,10,50.10%,5,252,10272278170,2.4532E-08
51,10,10,50.10%,5,252,12777711870,1.97218E-08
52,10,10,50.10%,5,252,15820024220,1.59292E-08
53,10,10,50.10%,5,252,19499099620,1.29237E-08
